entidade,empresa,imagem
10061,NOS,nos
10081,"OTLIS, Operadores de Transportes Região de Lisboa ACE",otlis
10083,TIP - Transportes Intermodais do Porto,andante
10095,Pagamentos ao Estado,estado
10121,ACP - Automóvel Clube de Portugal,acp
10128,FIDELIDADE - Companhia de Seguros,fidelidade
10130,Eden Springs Portugal SA,eden
10131,TAP - Transportes Aéreos Portugueses,tap
10132,Liberty Seguros,liberty-seguros
10155,Loja do Condomínio,loja-condominio
10158,Vodafone Portugal,vodafone
10175,Seleções Readears Digest,seleccoes
10208,"Global Noticias, anúncios Jornal de Noticias",jn
10211,Câmara Municipal do Porto,porto
10212,"Motor Press Lisboa, Edição e Distribuição SA",motorpresslisboa
10227,"Caravela, Companhia de Seguros SA",caravela
10231,Fundação INATEL,inatel
10241,CompraFacil,hipay
10244,Victoria Seguros,victoria
10261,OK TeleSeguro,okseguros
10294,AGEAS Portugal Companhia Seguros SA,ageas
10297,Vodafone Portugal,vodafone
10311,Ordem dos Engenheiros,ordem-eng
10335,Ordem dos Enfermeiros,ordem-enf
10351,NOS Madeira,nos
10363,FNAC,fnac
10404,Cooperativa Formação e Animação Cultural,cfac
10411,"Certiel, Associação Certificador Instalações Eletricas",certiel
10420,Fidelidade Companhia Seguros SA,fidelidade
10451,"ISEP, Instituto Superior de Engenharia do Porto",isep
10482,FC Porto cotas Sportinveste Multimedia SA,fcp
10511,Porto Editora – Escola Virtual,porto-editora
10550,OTIS Elevadores Lda,otis
10559,ifthenpay,ifthenpay
10575,"Abreu, agência de viagens",abreu
10611,EasyPay,easypay
10612,Sweets 4 U – COM. E REP.PROD.ALIM.LDA,mysweets4u
10644,Toconline – Licença de utilização de programa de facturação,toconline
10652,SAGE Portugal,sage
10828,Nestle Portugal SA,nestle
10950,Institudo da Vinha e do Vinho,ivv
10954,PT MEO,meo
10958,"ISEP, Instituto Superior de Engenharia do Porto",isep
10991,STAPLES Portugal SA - Equip. Escritório,staples
10996,ADENE Agência para a Energia,adene
11012,"IRN - Instituto de Registos e Notariado, IP",irn
11013,Portal da Empresa,portal-empresa
11024,LusoPay,lusopay
11056,NSeguros,nseguros
11062,ACP - Mediação de Seguros SA,acp
11063,"Seguradoras Unidas, SA",
11100,Clínica CUF Cascais,cuf-cascais
11202,ifthenpay (pequenas empresas e particulares),ifthenpay
11216,Município de Estremoz,
11241,La Redoute,la-redoute
11249,"Compra Fácil HPME SA (Conforama, HiMedia Lap2Go.pt, GlobalSport.pt, Mister Auto, PCDIGA, Betfair, bet365, burlas OLX)",hipay
11283,EDP,edp
11299,"Pagamento IES, Informação Empresarial Simplificada",
11314,ONSALESIT SA,
11335,Athenas Mediadora de seguros,athenas
11364,Endesa (Electricidade),endesa
11369,Empark,empark
11390,2B Style Unipessoal Lda,
11409,Courlux Internacional,
11412,Standvirtual,standvirtual
11412,Imovirtual,imovirtual
11413,TAP - Transportes Aéreos Portugueses,tap
11419,OPENSOFT Soluções Informáticas SA,opensoft
11421,Câmara Municipal de Lisboa,
11440,"ISEP, Carregamento Cartão Alimentação",isep
11456,"Gold Energy, Comercializazadora Energia SA",gold-energy
11471,TAP - Transportes Aéreos Portugueses,tap
11473,ifthenpay (pequenas empresas e particulares),ifthenpay
11583,Gas Natural Serviços SDG SA,
11589,"Worten Equipamentos para o lar, S.A.",worten
11604,ifthenpay (pequenas empresas e particulares),ifthenpay
11606,"CIF, Agência de Viagens e Turismo SA",cif
11609,Instituto Superior de Ciências Sociais e Politicas,
11644,IBERDROLA Energia,iberdrola
11663,Município de Santo Tirso,
11669,MULTICERT,multicert
11683,EASYPAY  (pequenas empresas e particulares),easypay
11686,ifthenpay (pequenas empresas e particulares),ifthenpay
11687,Audilar,audilar
11687,Rádio Popular,rp
11687,ifthenpay (pequenas empresas e particulares),ifthenpay
11693,Centro Hospitalar e Universitário de Coimbra,chuc
11706,Universidade de Lisboa  Verão na Ulisboa,univ-lisboa
11708,MHR,mhr
11711,"Instituto de Registos e Notariado, IP",irn
11712,"Instituto de Registos e Notariado, IP",irn
11713,"Instituto de Registos e Notariado, IP",irn
11714,"Instituto de Registos e Notariado, IP",irn
11717,"IEFP, Instituto de Emprego e Formação Profissional",iefp
11726,Vertbaudet Portugal Lda,vertbaudet
11737,Ticket Restaurant,ticket-restaurant
11749,Sport Zone,sportzone
11758,SATA Internacional,sata
11767,Comissão de Viticultura da Região Vinhos Verdes,
11782,EASYPAY (pequenas empresas e particulares),easypay
11795,"Instituto dos Registos e do Notariado (Registo Predial Online, RPO)",irn
11802,ifthenpay,ifthenpay
11811,Centro Social da Legião da Boa Vontade,lvb
11843,EASYPAY (pequenas empresas e particulares),easypay
11854,PPRO FINANCIAL LTD (pequenas empresas e particulares),
11873,ifthenpay (pequenas empresas e particulares),ifthenpay
11877,euPago,eupago
11893,HPME SA (pequenas empresas e particulares),hipay
11896,Instituto de Avaliação Educativa,
11925,ifthenpay (pequenas empresas e particulares),ifthenpay
11937,"Instituto Registos Notariado, IP",irn
11944,Via Verde,via-verde
11950,Câmara Municipal de Lisboa,
11979,PAYPAYUE I PAG UNIP Lda,
11985,"GALP Power, SA",galp
11988,"ifthenpay (Audilar, Delikatessen, etc)",ifthenpay
11989,ifthenpay (pequenas empresas e particulares),ifthenpay
11990,ifthenpay (Aquário),ifthenpay
11999,"EPorto, Estacionamentos Públicos do Porto (multas estacionamento)",
12009,GOLD ENERGY,
12020,EASYPAY (pequenas empresas e particulares),easypay
12057,Dalenys Payment,
12121,"ENDESA Energia, Sucursal Portugal",endesa
12133,ifthenpay (CDUP),ifthenpay
12142,euPago,eupago
20108,"WIZINK BANK, SA",wizink
20130,Novo Banco,novo-banco
20145,"SPORTING CLUBE PORTUGAL, FUTEBOL SAD",scp
20152,Sporting Clube de Portugal,scp
20160,Jogos Santa Casa,santa-casa
20173,Liberty Seguros SA,liberty
20174,EDP Comercial (Electricidade),epd
20175,Allianz (Seguros),allianz
20181,INSTITUTO GESTAO FINANC SEG SOCIAL,
20185,BNP PARIBAS PERSONAL FINANCE,paribas
20229,GE CONSUMER FINANCE IFIC SA.,
20237,Entidades Públicas / Execuções Fiscais,
20341,Via Verde,via-verde
20394,Millenium BCM Banco Comercial Portugues,bcp
20409,Federação Portuguesa de Futebol,fpf
20414,Banco Electrónico Serviço Total,
20420,Metlife Europe Limited,metlife
20426,FCPorto Lugar Anual (Porto Comercial SA),fcp
20442,NOS,nos
20484,Caixa Geral de Depósitos (ex. carregamento de cartões de débito pré pagos),cgd
20498,"Banco Santander Consumer Portugal, SA",santander
20601,BNP PARIBAS PERSONAL FINANCE,paribas
20603,NOS,nos
20641,Serviços Municipalizados de Loures Águas (eventualmente utilizado também por outros municípios),
20659,Zurich Seguros,zurich-seguros
20669,Município Oliveira de Azeméis,
20670,BANCO SANTANDER TOTTA S.A.,totta
20678,ONEY / Jumbo,oney
20698,Ordem dos Arquitetos,ordem-arq
20715,Banco BPI,bpi
20718,BANCO SANTANDER TOTTA S.A.,totta
20719,ASSOCIACAO DNS PT,dnspt
20724,Autoridade para as Condições de Trabalho,
20741,"CREDIBOM-SOC.FIN.AQUISICAO A CREDITO, SA",credibom
20754,Santander Totta Cartão de crédito,totta
20776,AGEAS Portugal Companhia de Seguros SA,ageas
20804,"UNICRE, Instituição Financeira Crédito SA",unicre
20811,"Epal, Águas de Lisboa",epal
20812,EDP serviço universal,edp
20813,Banco BPI,bpi
20815,Águas do Porto,aguas-porto
20821,"IST, Instituto Superior Técnico",
20832,EMPRESA ELECTRICIDADE MADEIRA SA,
20834,NOVO BANCO S.A.,novo-banco
20838,INSTITUTO SUPERIOR ECONOMIA GESTAO,
20839,Cetelem,cetelem
20843,Pagamento multa / coima rodoviária,
20858,COFIDIS,cofidis
20890,Barclaycard / WIZINK BANK,wizink
20891,Barclaycard / WIZINK BANK,wizink
20912,ISPA INST SUPERIOR PSICOLOGIA APLICADA,
20918,UNIVERSIDADE AVEIRO,
20934,Áçoreana Seguros,acoreana
20936,"NOWO COMMUNICATIONS, SA",
20950,"Petróleos Portugal Petrogal, SA",
20961,Rentokill,
20975,"INSTITUTO M T TERRESTRES,IP",
20977,"Remax Portugal(Casax, Consultadoria de Gestão Lda)",
20987,BLUETICKET SERVICOS BILHETICA SA,
21034,BANCO PRIMUS SA,
21056,Segurança Social,
21086,"INSTITUTO M T TERRESTRES,IP",
21096,Galp Energia,galp
21098,Easypay,easypay
21135,SEGURADORAS UNIDAS SA,
21142,CONDOARADE-GEST. CONDOMINIOS LDA,
21146,"SEGURIHIGIENE, Saúde no Trabalho SA",
21154,CTT (Pagamento Portagens),ctt
21159,"PT Empresas, MEO",meo
21177,Galp Gás,galp
21188,EDP SOLUCOES COMERCIAIS,edp
21196,EDP SOLUCOES COMERCIAIS,edp
21199,ASSOC.PORT.EMPRESAS CONTAB.ADMINISTRACAO,
21212,MUNICIPIO PAREDES,
21218,Ascendi Portagens,ascendi
21225,MONTELLANO LDA,
21234,Vialivre (Portagens),via-livre
21235,OTIS ELEVADORES LDA,otis
21245,BMW GMBH SUCURSAL PORTUGUESA,bmw
21269,UNIVERSIDADE DO PORTO,uporto
21276,"TOTTA SEGUROS COMP.SEG.DE VIDA,SA",totta
21309,MUNICIPIO DE TERRAS DE BOURO,
21312,CAIXA ECONOMICA MONTEPIO GERAL,montepio
21318,MUNICIPIO DE COIMBRA,
21321,"PRIMAVERA SOFTWARE, SA",
21344,MUNICIPIO DE GONDOMAR,
21347,Polícia Municipal de Lisboa,
21365,SERVDEBT CAPITAL ASSET MANAGEMENT LDA,
21374,BNP PARIBAS PERSONAL FINANCE,paribas
21375,Millenium BCP Banco Comercial Portugues,bcp
21383,"WURTH PORTUGAL TECNICA DE MONTAGEM, LDA.",wurth
21410,SERVDEBT CAPITAL ASSET MANAGEMENT LDA,
21417,ASCENDI PINHAL INTERIOR ESTRADAS PINHAL,ascendi
21426,"PT PAY SA (Serviços Meo Wallet, TicketLine, outros…)",meo
21448,"FCT, Fundos de Compensação do Trabalho",fundos-comp
21467,Liberty Seguros SA,liberty
21487,Águas de Valongo SA,agua-valongo
21489,Millennium BCP Banco Comercial Português,bcp
21496,"CMPEA EMPRESA AGUAS MUNICIPIO PORTO,E.M.",aguas-porto
21535,"LISGARANTE SOC.DE GARANTIA MUTUA, SA",lisgarante
21540,AEGON SANTANDER PORTUGAL VIDA,aegon
21546,"UNION DE CREDITOS IMOBILIARIOS, SA, EFC",uci
21557,CTT (Cobrança de Serviços),ctt
21565,PT PAY SA,meo
21572,"VITORIA SEGUROS, SA",vitoria
21575,SERVICOS MUNICIPALIZADOS CALDAS RAINHA,aguas-caldas-rainha
21577,LEASE PLAN PORTUGAL LDA,leaseplan
21579,NOS,nos
21604,"Lap2go, organização de eventos como corridas",lap2go
21606,Ordem dos Enfermeiros,ordem-enf
21607,CTT (Expresso / Logistica),ctt
21615,LOGICOMER GESTAO E RECUP DE CREDITO SA,logicomer
21619,Serviços Municipalizados de Leiria,smas
21622,Águas de Coimbra,aguas-coimbra
21625,SERV. MUNIC. ELECT. AGUAS SANEAM. C. M. MAIA,smeas
21651,Águas de Gaia,aguas-gaia
21721,ifthenpay,ifthenpay
